epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,11190,1.2242,0.55689,1.00133,0.97959,0.92725,0.96179,0.76218,0.84135,0.41076,1.13477,0.000952889,0.000952889,0.000952889
16,11929.5,1.20336,0.54566,0.99541,0.97629,0.92826,0.96175,0.75594,0.84342,0.40008,1.13369,0.000946048,0.000946048,0.000946048
17,12666.7,1.18924,0.53549,0.99014,0.98604,0.92955,0.9672,0.77328,0.82087,0.4017,1.11151,0.000938772,0.000938772,0.000938772
18,13406.6,1.18135,0.53277,0.98701,0.97982,0.92955,0.96212,0.76259,0.82136,0.38478,1.11886,0.000931067,0.000931067,0.000931067
19,14156.6,1.17092,0.52372,0.98267,0.9823,0.9211,0.95986,0.76811,0.79953,0.39262,1.1087,0.000922942,0.000922942,0.000922942
20,14898.3,1.15841,0.51719,0.97698,0.97653,0.9376,0.96948,0.78688,0.80542,0.36345,1.12124,0.000914405,0.000914405,0.000914405
21,15641,1.14709,0.51224,0.97324,0.97986,0.93639,0.97078,0.78986,0.78253,0.35731,1.08405,0.000905463,0.000905463,0.000905463
22,16375.8,1.13469,0.50255,0.97105,0.98848,0.93233,0.96713,0.78609,0.78098,0.36411,1.07563,0.000896127,0.000896127,0.000896127
23,17138.5,1.13059,0.50108,0.96858,0.98515,0.93961,0.96982,0.79159,0.78466,0.3447,1.10701,0.000886404,0.000886404,0.000886404
24,17876.3,1.11874,0.49502,0.96527,0.98346,0.93375,0.96606,0.78668,0.79465,0.34981,1.11212,0.000876305,0.000876305,0.000876305
25,18618.6,1.11198,0.49253,0.96127,0.98514,0.93433,0.96902,0.79816,0.77112,0.34432,1.08932,0.000865839,0.000865839,0.000865839
26,19354.5,1.09748,0.48381,0.95673,0.98632,0.93357,0.96975,0.79871,0.77469,0.33758,1.1009,0.000855018,0.000855018,0.000855018
27,20095,1.09333,0.48317,0.95636,0.98583,0.93478,0.97128,0.80545,0.76678,0.33475,1.08649,0.000843851,0.000843851,0.000843851
28,20834.4,1.08442,0.47762,0.95413,0.98355,0.93881,0.97105,0.80649,0.75675,0.32557,1.09052,0.000832349,0.000832349,0.000832349
29,21571.6,1.08027,0.47486,0.95059,0.9835,0.93558,0.97163,0.80823,0.75146,0.32927,1.08376,0.000820525,0.000820525,0.000820525
30,22315.8,1.06924,0.46842,0.94823,0.98877,0.9368,0.97285,0.81042,0.76002,0.32925,1.09746,0.000808389,0.000808389,0.000808389
31,23060.8,1.06125,0.46469,0.94604,0.98761,0.93841,0.97201,0.8082,0.76068,0.32921,1.09602,0.000795954,0.000795954,0.000795954
32,23799.2,1.0518,0.45977,0.94189,0.98463,0.93841,0.97154,0.80878,0.76286,0.32466,1.09772,0.000783231,0.000783231,0.000783231
33,24527.6,1.04308,0.4566,0.93779,0.98431,0.93841,0.97257,0.80874,0.75951,0.32372,1.09494,0.000770234,0.000770234,0.000770234
34,25263.5,1.03475,0.45334,0.93638,0.98598,0.93418,0.97124,0.80971,0.75794,0.32044,1.09078,0.000756976,0.000756976,0.000756976
35,26002.4,1.03256,0.45004,0.93666,0.98433,0.93589,0.97001,0.80734,0.75727,0.31898,1.09391,0.000743468,0.000743468,0.000743468
36,26738.6,1.02057,0.44554,0.93276,0.98601,0.93636,0.9702,0.8064,0.76083,0.31698,1.09499,0.000729725,0.000729725,0.000729725
37,27477.6,1.00936,0.44065,0.92841,0.98766,0.93451,0.97085,0.81092,0.75549,0.3146,1.08819,0.000715761,0.000715761,0.000715761
38,28216.3,1.00322,0.43756,0.9266,0.9868,0.93315,0.97098,0.81205,0.75133,0.31107,1.08787,0.000701588,0.000701588,0.000701588
39,28954.6,0.99744,0.4335,0.9262,0.98321,0.9372,0.97127,0.81067,0.75002,0.30881,1.08564,0.000687222,0.000687222,0.000687222
40,29692.7,0.99135,0.43128,0.92283,0.98524,0.94051,0.97142,0.80866,0.74871,0.30765,1.0852,0.000672675,0.000672675,0.000672675
41,30428.4,0.98134,0.42739,0.9195,0.98251,0.93921,0.97017,0.8079,0.74789,0.30763,1.0864,0.000657963,0.000657963,0.000657963
42,31167.2,0.97955,0.42578,0.91855,0.98148,0.93884,0.97024,0.80807,0.74979,0.30744,1.08525,0.000643101,0.000643101,0.000643101
43,31918.7,0.96734,0.42216,0.91444,0.98056,0.94002,0.97031,0.80834,0.75056,0.30696,1.0848,0.000628101,0.000628101,0.000628101
44,32653.7,0.96093,0.41952,0.91394,0.98109,0.93996,0.96966,0.80982,0.75168,0.30589,1.08493,0.000612981,0.000612981,0.000612981
45,33391.1,0.96077,0.41803,0.91358,0.98185,0.93633,0.9689,0.80981,0.75221,0.30554,1.08523,0.000597754,0.000597754,0.000597754
46,34126.1,0.95375,0.41553,0.91248,0.98188,0.93799,0.9697,0.81088,0.75148,0.30447,1.0871,0.000582435,0.000582435,0.000582435
47,34866.2,0.94646,0.4126,0.90904,0.98311,0.9375,0.9698,0.8111,0.75015,0.30408,1.08528,0.00056704,0.00056704,0.00056704
48,35605.9,0.93607,0.40892,0.90791,0.98272,0.93882,0.97034,0.81183,0.74949,0.30301,1.08606,0.000551584,0.000551584,0.000551584
49,36341,0.92976,0.40512,0.90457,0.9833,0.93961,0.9711,0.81223,0.74898,0.30294,1.08687,0.000536081,0.000536081,0.000536081
50,37076.5,0.92266,0.40229,0.90344,0.98274,0.9397,0.97084,0.81238,0.74937,0.30409,1.08781,0.000520548,0.000520548,0.000520548
51,37807.1,0.91847,0.40073,0.90084,0.98325,0.93881,0.97111,0.81273,0.74978,0.30328,1.08822,0.000505,0.000505,0.000505
52,38529.1,0.91186,0.39862,0.89939,0.98354,0.93836,0.97076,0.81243,0.7508,0.30338,1.08954,0.000489452,0.000489452,0.000489452
53,39271.3,0.90002,0.39262,0.89676,0.98312,0.93778,0.97076,0.8124,0.75082,0.30205,1.08991,0.000473919,0.000473919,0.000473919
54,39994.5,0.90324,0.3935,0.8967,0.98312,0.93789,0.97126,0.81297,0.75098,0.30141,1.09064,0.000458416,0.000458416,0.000458416
55,40715.9,0.89314,0.39071,0.89552,0.9829,0.9368,0.97131,0.81265,0.75125,0.30198,1.09146,0.00044296,0.00044296,0.00044296
56,41436.6,0.88593,0.38692,0.89304,0.98147,0.938,0.97162,0.81317,0.75079,0.30098,1.09181,0.000427565,0.000427565,0.000427565
57,42165.6,0.87849,0.38358,0.89263,0.98189,0.93872,0.9716,0.8129,0.75093,0.30067,1.09312,0.000412246,0.000412246,0.000412246
58,42885,0.87128,0.38051,0.88902,0.98149,0.938,0.97171,0.81332,0.75098,0.30128,1.09396,0.000397019,0.000397019,0.000397019
59,43492,0.86585,0.37889,0.88708,0.9823,0.93833,0.97188,0.81342,0.75132,0.30076,1.09505,0.000381899,0.000381899,0.000381899
60,43947.2,0.86191,0.37765,0.8864,0.9819,0.93931,0.97165,0.81372,0.75149,0.30055,1.09547,0.000366899,0.000366899,0.000366899
61,44400.4,0.85522,0.37407,0.8843,0.98133,0.93961,0.97163,0.81411,0.75184,0.30052,1.09643,0.000352037,0.000352037,0.000352037
62,44853.3,0.84677,0.3715,0.88271,0.98149,0.93928,0.97161,0.81392,0.75168,0.29971,1.09674,0.000337325,0.000337325,0.000337325
63,45307.4,0.84246,0.36981,0.88204,0.98232,0.93923,0.97146,0.81438,0.75151,0.29983,1.09717,0.000322778,0.000322778,0.000322778
64,45761.8,0.83909,0.3677,0.88184,0.98192,0.9404,0.972,0.81466,0.75194,0.2994,1.09821,0.000308412,0.000308412,0.000308412
65,46216.3,0.83606,0.36586,0.87928,0.9832,0.94002,0.97201,0.81435,0.75176,0.29972,1.09878,0.000294239,0.000294239,0.000294239
66,46671.4,0.82851,0.36321,0.87844,0.98319,0.93921,0.97197,0.81506,0.75148,0.29929,1.09899,0.000280275,0.000280275,0.000280275
67,47126,0.82056,0.36105,0.87582,0.98315,0.93944,0.97201,0.81472,0.75188,0.29922,1.09995,0.000266532,0.000266532,0.000266532
68,47579.5,0.81796,0.35919,0.87493,0.98275,0.94027,0.9721,0.81479,0.75238,0.29869,1.10113,0.000253024,0.000253024,0.000253024
69,48033.6,0.81233,0.35829,0.87424,0.98192,0.94001,0.97194,0.81425,0.75249,0.29827,1.10208,0.000239766,0.000239766,0.000239766
70,48487.4,0.80698,0.3547,0.87342,0.98132,0.94122,0.97182,0.81478,0.75231,0.29747,1.10236,0.000226769,0.000226769,0.000226769
71,48942,0.80402,0.35378,0.87267,0.9799,0.94196,0.97163,0.81364,0.75265,0.29711,1.10347,0.000214046,0.000214046,0.000214046
